IP:PORT, LOSS, DELAY
162.159.192.159:1010,0.00%,151 ms
162.159.195.230:968,0.00%,152 ms
162.159.192.159:968,0.00%,154 ms
162.159.195.48:968,0.00%,155 ms
162.159.195.218:968,0.00%,156 ms
162.159.195.61:1010,0.00%,158 ms
162.159.195.48:1010,0.00%,159 ms
162.159.195.62:968,0.00%,160 ms
162.159.192.152:1010,0.00%,160 ms
162.159.192.94:968,0.00%,161 ms
162.159.192.111:1010,0.00%,162 ms
162.159.192.76:1010,0.00%,164 ms
162.159.192.162:968,0.00%,164 ms
162.159.192.111:968,0.00%,167 ms
162.159.192.162:1010,0.00%,168 ms
162.159.195.35:968,0.00%,170 ms
162.159.195.20:968,0.00%,172 ms
162.159.192.30:968,0.00%,172 ms
162.159.195.202:1010,0.00%,174 ms
162.159.195.231:968,0.00%,176 ms
162.159.192.74:968,0.00%,181 ms
162.159.192.212:1010,0.00%,186 ms
162.159.195.117:1010,0.00%,187 ms
162.159.195.35:1010,0.00%,187 ms
162.159.192.213:968,0.00%,187 ms
162.159.195.20:1010,0.00%,189 ms
188.114.96.218:1010,0.00%,235 ms
188.114.96.215:968,0.00%,237 ms
188.114.99.164:968,0.00%,238 ms
188.114.99.49:968,0.00%,238 ms
188.114.98.153:968,0.00%,239 ms
188.114.96.141:1010,0.00%,239 ms
188.114.96.138:1010,0.00%,239 ms
188.114.96.166:1010,0.00%,239 ms
188.114.96.138:968,0.00%,240 ms
188.114.96.87:968,0.00%,240 ms
188.114.98.179:1010,0.00%,241 ms
188.114.97.251:968,0.00%,241 ms
188.114.98.16:1010,0.00%,241 ms
188.114.99.140:1010,0.00%,241 ms
188.114.97.248:1010,0.00%,242 ms
188.114.99.164:1010,0.00%,243 ms
188.114.98.153:1010,0.00%,243 ms
188.114.98.26:968,0.00%,244 ms
188.114.96.141:968,0.00%,244 ms
188.114.97.17:968,0.00%,245 ms
188.114.97.233:968,0.00%,246 ms
188.114.98.223:1010,0.00%,247 ms
188.114.98.26:1010,0.00%,248 ms
188.114.98.126:968,0.00%,248 ms
188.114.96.215:1010,0.00%,254 ms
188.114.99.127:968,0.00%,256 ms
188.114.96.217:1010,0.00%,258 ms
188.114.96.217:968,0.00%,258 ms
188.114.96.199:968,0.00%,260 ms
188.114.99.36:1010,0.00%,260 ms
188.114.99.253:968,0.00%,261 ms
188.114.97.114:968,0.00%,268 ms
188.114.96.152:1010,0.00%,268 ms
188.114.99.244:1010,0.00%,271 ms
188.114.98.250:1010,0.00%,272 ms
188.114.97.164:968,0.00%,274 ms
188.114.99.38:1010,0.00%,277 ms
162.159.195.4:968,10.00%,234 ms
162.159.195.218:1010,10.00%,241 ms
162.159.195.66:968,10.00%,241 ms
162.159.192.191:1010,10.00%,242 ms
162.159.195.98:1010,10.00%,243 ms
162.159.195.62:1010,10.00%,246 ms
162.159.192.94:1010,10.00%,247 ms
162.159.192.20:968,10.00%,247 ms
162.159.195.66:1010,10.00%,248 ms
162.159.195.204:1010,10.00%,249 ms
162.159.192.175:968,10.00%,250 ms
162.159.192.152:968,10.00%,250 ms
162.159.195.98:968,10.00%,251 ms
162.159.195.4:1010,10.00%,252 ms
162.159.192.24:1010,10.00%,253 ms
162.159.192.209:968,10.00%,258 ms
162.159.195.231:1010,10.00%,259 ms
162.159.195.202:968,10.00%,259 ms
162.159.192.76:968,10.00%,260 ms
162.159.192.175:1010,10.00%,260 ms
162.159.192.24:968,10.00%,261 ms
162.159.192.74:1010,10.00%,262 ms
162.159.192.209:1010,10.00%,263 ms
162.159.192.212:968,10.00%,269 ms
162.159.195.117:968,10.00%,274 ms
162.159.192.213:1010,10.00%,281 ms
188.114.99.213:1010,10.00%,313 ms
188.114.99.15:1010,10.00%,318 ms
188.114.97.251:1010,10.00%,319 ms
188.114.97.82:968,10.00%,319 ms
188.114.97.118:968,10.00%,319 ms
188.114.98.137:1010,10.00%,319 ms
188.114.98.137:968,10.00%,320 ms
188.114.99.106:1010,10.00%,320 ms
188.114.99.127:1010,10.00%,321 ms
188.114.99.3:968,10.00%,321 ms
188.114.96.253:1010,10.00%,321 ms
188.114.98.87:968,10.00%,321 ms
188.114.96.253:968,10.00%,321 ms
188.114.98.43:1010,10.00%,322 ms
188.114.97.114:1010,10.00%,322 ms
188.114.98.126:1010,10.00%,322 ms
188.114.98.43:968,10.00%,323 ms
188.114.98.223:968,10.00%,323 ms
188.114.98.41:1010,10.00%,325 ms
188.114.97.134:1010,10.00%,327 ms
188.114.96.108:968,10.00%,327 ms
188.114.99.213:968,10.00%,328 ms
188.114.98.30:968,10.00%,329 ms
188.114.99.15:968,10.00%,329 ms
188.114.99.49:1010,10.00%,330 ms
188.114.99.254:1010,10.00%,331 ms
188.114.99.244:968,10.00%,331 ms
188.114.98.41:968,10.00%,331 ms
188.114.97.54:1010,10.00%,332 ms
188.114.98.250:968,10.00%,332 ms
188.114.96.16:1010,10.00%,333 ms
188.114.99.34:968,10.00%,333 ms
188.114.97.60:1010,10.00%,335 ms
188.114.96.51:968,10.00%,335 ms
188.114.97.82:1010,10.00%,336 ms
188.114.99.253:1010,10.00%,337 ms
188.114.97.134:968,10.00%,341 ms
188.114.96.16:968,10.00%,343 ms
188.114.98.151:1010,10.00%,344 ms
188.114.98.1:968,10.00%,346 ms
188.114.99.254:968,10.00%,346 ms
162.159.195.61:968,20.00%,318 ms
162.159.192.191:968,20.00%,323 ms
162.159.195.230:1010,20.00%,327 ms
162.159.195.204:968,20.00%,330 ms
162.159.192.30:1010,20.00%,335 ms
162.159.192.20:1010,20.00%,336 ms
188.114.99.3:1010,20.00%,395 ms
188.114.99.34:1010,20.00%,398 ms
188.114.99.140:968,20.00%,400 ms
188.114.97.60:968,20.00%,402 ms
188.114.98.16:968,20.00%,402 ms
188.114.96.108:1010,20.00%,402 ms
188.114.96.152:968,20.00%,403 ms
188.114.96.97:1010,20.00%,403 ms
188.114.97.36:1010,20.00%,404 ms
188.114.96.199:1010,20.00%,404 ms
188.114.99.106:968,20.00%,404 ms
188.114.97.233:1010,20.00%,404 ms
188.114.97.54:968,20.00%,405 ms
188.114.97.118:1010,20.00%,405 ms
188.114.98.87:1010,20.00%,405 ms
188.114.99.107:1010,20.00%,405 ms
188.114.98.1:1010,20.00%,405 ms
188.114.96.87:1010,20.00%,405 ms
188.114.99.36:968,20.00%,405 ms
188.114.98.179:968,20.00%,406 ms
188.114.96.218:968,20.00%,407 ms
188.114.98.30:1010,20.00%,408 ms
188.114.99.107:968,20.00%,409 ms
188.114.97.17:1010,20.00%,411 ms
188.114.97.36:968,20.00%,414 ms
188.114.96.51:1010,20.00%,415 ms
188.114.96.97:968,20.00%,415 ms
188.114.97.164:1010,20.00%,417 ms
188.114.98.151:968,20.00%,417 ms
188.114.99.38:968,20.00%,421 ms
188.114.97.248:968,30.00%,475 ms
188.114.96.166:968,30.00%,481 ms
162.159.193.21:968,100.00%,1000 ms
162.159.193.83:1010,100.00%,1000 ms
162.159.193.145:1010,100.00%,1000 ms
162.159.193.24:968,100.00%,1000 ms
162.159.193.130:1010,100.00%,1000 ms
162.159.193.120:968,100.00%,1000 ms
162.159.193.71:968,100.00%,1000 ms
188.114.97.185:968,100.00%,1000 ms
162.159.193.230:1010,100.00%,1000 ms
162.159.193.73:1010,100.00%,1000 ms
162.159.193.130:968,100.00%,1000 ms
162.159.193.120:1010,100.00%,1000 ms
162.159.193.181:1010,100.00%,1000 ms
162.159.193.175:1010,100.00%,1000 ms
162.159.193.17:1010,100.00%,1000 ms
188.114.97.185:1010,100.00%,1000 ms
162.159.193.175:968,100.00%,1000 ms
162.159.193.230:968,100.00%,1000 ms
162.159.193.133:968,100.00%,1000 ms
162.159.193.72:1010,100.00%,1000 ms
162.159.193.17:968,100.00%,1000 ms
162.159.193.127:968,100.00%,1000 ms
162.159.193.71:1010,100.00%,1000 ms
162.159.193.72:968,100.00%,1000 ms
162.159.193.133:1010,100.00%,1000 ms
162.159.193.181:968,100.00%,1000 ms
162.159.193.83:968,100.00%,1000 ms
162.159.193.145:968,100.00%,1000 ms
162.159.193.127:1010,100.00%,1000 ms
162.159.193.73:968,100.00%,1000 ms
162.159.193.21:1010,100.00%,1000 ms
162.159.193.24:1010,100.00%,1000 ms
