IP:PORT, LOSS, DELAY
[2606:4700:d0::7a23:f1a7:6240:9593]:890,0.00%,148 ms
[2606:4700:d0::c09f:a37f:ae8b:a765]:943,0.00%,148 ms
[2606:4700:d1::a6ee:38ea:1802:a363]:890,0.00%,148 ms
[2606:4700:d0::007a:d03a:0dd4:7867]:890,0.00%,149 ms
[2606:4700:d1::1f74:ecc2:5d05:af73]:943,0.00%,149 ms
[2606:4700:d1::f0d3:c2e0:0cfd:1ba3]:890,0.00%,150 ms
[2606:4700:d1::a6ee:38ea:1802:a363]:943,0.00%,150 ms
[2606:4700:d0::506e:df68:b826:2597]:943,0.00%,151 ms
[2606:4700:d1::3c2e:dabf:a0ab:1f18]:890,0.00%,152 ms
[2606:4700:d1::94a7:4308:6abf:b36c]:943,0.00%,153 ms
[2606:4700:d0::5ea0:fa21:6ece:63e9]:890,0.00%,154 ms
[2606:4700:d0::f1d2:5c80:5a87:363d]:943,0.00%,154 ms
[2606:4700:d1::a2b0:4033:c647:9314]:890,0.00%,154 ms
[2606:4700:d0::5ea0:fa21:6ece:63e9]:943,0.00%,154 ms
[2606:4700:d1::c3c4:277b:4063:91b7]:890,0.00%,155 ms
[2606:4700:d0::f1cc:4027:79e0:c47e]:890,0.00%,155 ms
[2606:4700:d0::0e35:ff2f:ceac:6825]:890,0.00%,155 ms
[2606:4700:d0::b08d:60f8:d320:7146]:890,0.00%,156 ms
[2606:4700:d1::c875:f61f:4936:4510]:890,0.00%,156 ms
[2606:4700:d1::7ad3:0601:de22:aa83]:943,0.00%,156 ms
[2606:4700:d0::ac05:2ab0:8a50:daa4]:890,0.00%,156 ms
[2606:4700:d1::8138:b088:1830:9c7b]:943,0.00%,156 ms
[2606:4700:d0::3f23:5adf:9e68:486f]:943,0.00%,157 ms
[2606:4700:d0::1548:9b28:4936:6cd0]:890,0.00%,157 ms
[2606:4700:d1::c3c4:277b:4063:91b7]:943,0.00%,158 ms
[2606:4700:d0::ff3f:5375:c16e:c24f]:890,0.00%,158 ms
[2606:4700:d0::997f:bb11:a84c:abcc]:943,0.00%,158 ms
[2606:4700:d0::649f:f6ca:ea89:8537]:943,0.00%,158 ms
[2606:4700:d0::1509:255d:b5af:e942]:943,0.00%,159 ms
[2606:4700:d0::c18c:42a9:9120:a1b0]:890,0.00%,160 ms
